,Date,Price,Open,High,Low,Close
0,26-Dec-79,107.8,107.8,108.4,107.1,107.89701999999998
1,27-Dec-79,108.0,108.0,108.5,107.1,108.2052
2,28-Dec-79,107.8,107.8,108.6,107.2,107.59518
3,31-Dec-79,107.9,107.9,108.5,107.3,107.99710999999999
4,1-Jan-80,107.9,107.9,107.9,107.9,107.9
5,2-Jan-80,105.8,105.8,108.4,105.3,103.7369
6,3-Jan-80,105.2,105.2,106.1,103.3,104.60036
7,4-Jan-80,106.5,106.5,107.1,105.1,107.8206
8,7-Jan-80,106.8,106.8,107.8,105.8,107.09903999999999
9,8-Jan-80,108.9,108.9,109.3,106.3,111.04533
10,9-Jan-80,109.1,109.1,111.1,108.4,109.29638
11,10-Jan-80,109.9,109.9,110.9,108.5,110.70227000000001
12,11-Jan-80,109.9,109.9,111.2,108.9,109.9
13,14-Jan-80,110.4,110.4,111.4,109.3,110.8968
14,15-Jan-80,111.1,111.1,111.9,109.4,111.79992999999999
15,16-Jan-80,111.1,111.1,112.9,110.4,111.1
16,17-Jan-80,110.7,110.7,112.0,109.8,110.30148
17,18-Jan-80,111.1,111.1,111.7,109.7,111.49996
18,21-Jan-80,112.1,112.1,112.9,110.7,113.10889999999998
19,22-Jan-80,111.5,111.5,113.1,110.9,110.8979
20,23-Jan-80,113.4,113.4,113.9,110.9,115.3278
21,24-Jan-80,113.7,113.7,115.3,112.9,113.99562
22,25-Jan-80,113.6,113.6,114.4,112.4,113.49776
23,28-Jan-80,114.8,114.8,115.7,112.9,116.01687999999999
24,29-Jan-80,114.1,114.1,115.8,113.0,113.40399
25,30-Jan-80,115.2,115.2,115.8,113.4,116.30592000000001
26,31-Jan-80,114.2,114.2,117.2,113.8,113.20645999999999
27,1-Feb-80,115.1,115.1,115.5,113.1,116.00929
28,4-Feb-80,114.4,114.4,116.0,113.8,113.70216
29,5-Feb-80,114.7,114.7,115.2,112.2,114.99821999999999
30,6-Feb-80,115.7,115.7,116.6,113.7,116.70658999999999
31,7-Feb-80,116.3,116.3,117.9,115.2,116.90476000000001
32,8-Feb-80,117.9,117.9,118.7,115.7,119.52702000000001
33,11-Feb-80,117.1,117.1,119.1,116.3,116.30371999999998
34,12-Feb-80,117.9,117.9,118.4,115.8,118.70172
35,13-Feb-80,118.4,118.4,120.2,117.6,118.89728000000001
36,14-Feb-80,116.7,116.7,119.3,116.0,115.01952
37,15-Feb-80,115.4,115.4,116.7,114.1,114.11906
38,18-Feb-80,115.4,115.4,115.4,115.4,115.4
39,19-Feb-80,114.6,114.6,115.7,113.3,113.80926
40,20-Feb-80,116.5,116.5,117.2,114.1,118.4339
41,21-Feb-80,115.3,115.3,117.9,114.4,114.11241
42,22-Feb-80,115.0,115.0,116.5,113.4,114.701
43,25-Feb-80,113.3,113.3,114.9,112.6,111.62316
44,26-Feb-80,114.0,114.0,114.8,112.3,114.7068
45,27-Feb-80,112.4,112.4,115.1,111.9,110.8264
46,28-Feb-80,112.3,112.3,113.7,111.3,112.19892999999999
47,29-Feb-80,113.7,113.7,114.1,111.8,115.12125
48,3-Mar-80,112.5,112.5,114.3,112.0,111.30749999999999
49,4-Mar-80,112.8,112.8,113.4,110.8,113.10455999999999
50,5-Mar-80,111.1,111.1,113.9,110.6,109.42239
51,6-Mar-80,108.7,108.7,111.3,107.8,106.35208
52,7-Mar-80,106.9,106.9,109.0,106.0,105.12546000000002
53,10-Mar-80,106.5,106.5,107.9,104.9,106.10594999999999
54,11-Mar-80,107.8,107.8,108.5,106.2,109.11515999999999
55,12-Mar-80,106.9,106.9,108.4,105.4,106.01273
56,13-Mar-80,105.6,105.6,107.6,105.1,104.31168
57,14-Mar-80,105.4,105.4,106.5,104.0,105.19974
58,17-Mar-80,102.3,102.3,105.2,101.8,99.29238
59,18-Mar-80,104.1,104.1,104.7,101.1,105.93216
60,19-Mar-80,104.3,104.3,105.7,103.3,104.49817
61,20-Mar-80,103.1,103.1,105.2,102.5,101.91435
62,21-Mar-80,102.3,102.3,103.7,101.6,101.50206
63,24-Mar-80,99.3,99.3,102.2,98.9,96.39050999999999
64,25-Mar-80,99.2,99.2,100.6,97.9,99.1008
65,26-Mar-80,98.7,98.7,101.2,98.1,98.2065
66,27-Mar-80,98.2,98.2,99.6,94.2,97.69918
67,28-Mar-80,100.7,100.7,101.4,97.7,103.26785000000001
68,31-Mar-80,102.1,102.1,102.7,100.0,103.51919
69,1-Apr-80,102.2,102.2,103.3,100.8,102.30219999999998
70,2-Apr-80,102.7,102.7,103.9,101.4,103.20322999999999
71,3-Apr-80,102.2,102.2,103.3,101.3,101.69922
72,7-Apr-80,100.2,100.2,102.3,99.7,98.23608
73,8-Apr-80,101.2,101.2,101.9,99.2,102.212
74,9-Apr-80,103.1,103.1,103.6,101.0,105.03827999999999
75,10-Apr-80,104.1,104.1,105.0,102.8,105.10977
76,11-Apr-80,103.8,103.8,105.2,103.2,103.49897999999999
77,14-Apr-80,102.8,102.8,103.9,102.1,101.81312
78,15-Apr-80,102.6,102.6,103.9,101.8,102.40505999999999
79,16-Apr-80,101.5,101.5,104.4,101.1,100.41395
80,17-Apr-80,101.1,101.1,102.2,100.1,100.70571
81,18-Apr-80,100.6,100.6,102.1,100.0,100.10705999999999
82,21-Apr-80,99.8,99.8,101.3,98.9,99.0016
83,22-Apr-80,103.4,103.4,104.0,100.8,107.13274000000001
84,23-Apr-80,103.7,103.7,105.1,102.8,104.00072999999999
85,24-Apr-80,104.4,104.4,105.4,102.9,105.10992
86,25-Apr-80,105.2,105.2,105.6,103.0,106.01004
87,28-Apr-80,105.6,105.6,106.8,104.6,106.00128
88,29-Apr-80,105.9,105.9,106.7,104.9,106.19651999999999
89,30-Apr-80,106.3,106.3,106.7,104.5,106.70394
90,1-May-80,105.5,105.5,106.9,104.7,104.70875000000001
91,2-May-80,105.6,105.6,106.2,104.6,105.69503999999998
92,5-May-80,106.4,106.4,106.8,104.6,107.20864000000002
93,6-May-80,106.2,106.2,107.8,105.4,105.99822
94,7-May-80,107.2,107.2,108.1,105.6,108.20768000000001
95,8-May-80,106.1,106.1,108.0,105.5,105.00717
